Date,Open,High,Low,Close
22-12-2023,23283.75,23389.45,23206.65,23264.85
23-12-2023,23344.45,23441.95,23295.95,23322.95
24-12-2023,23480.95,23481.05,23353.9,23398.9
25-12-2023,23464.95,23490.4,23334.25,23465.6
26-12-2023,23570.8,23579.05,23499.7,23557.9
27-12-2023,23629.85,23664,23412.9,23516
28-12-2023,23586.15,23624,23442.6,23567
29-12-2023,23661.15,23667.1,23398.2,23501.1
30-12-2023,23382.3,23558.1,23350,23537.85
31-12-2023,23577.1,23754.15,23562.05,23721.3
01-01-2024,23723.1,23889.9,23670.45,23868.8
02-01-2024,23881.55,24087.45,23805.4,24044.5
03-01-2024,24085.9,24174,23985.8,24010.6
04-01-2024,23992.95,24164,23992.7,24141.95
05-01-2024,24228.75,24236.35,24056.4,24123.85
06-01-2024,24291.75,24309.15,24207.1,24286.5
07-01-2024,24369.95,24401,24281,24302.15
08-01-2024,24213.35,24363,24168.85,24323.85
09-01-2024,24329.45,24344.6,24240.55,24320.55
10-01-2024,24351,24443.6,24331.9,24433.2
11-01-2024,24459.85,24461.05,24141.8,24324.45
12-01-2024,24396.55,24402.65,24193.75,24315.95
13-01-2024,24387.95,24592.2,24331.15,24502.15
14-01-2024,24587.6,24635.05,24522.75,24586.7
15-01-2024,24615.9,24661.25,24587.65,24613
16-01-2024,24543.8,24837.75,24504.45,24800.85
17-01-2024,24853.8,24854.8,24508.15,24530.9
18-01-2024,24445.75,24595.2,24362.3,24509.25
19-01-2024,24568.9,24582.55,24074.2,24479.05
20-01-2024,24444.95,24504.25,24307.25,24413.5
21-01-2024,24230.95,24426.15,24210.8,24406.1
22-01-2024,24423.35,24861.15,24410.9,24834.85
23-01-2024,24943.3,24999.75,24774.6,24836.1
24-01-2024,24839.4,24971.75,24798.65,24857.3
25-01-2024,24886.7,24984.6,24856.5,24951.15
26-01-2024,25030.95,25078.3,24956.4,25010.9
27-01-2024,24789,24851.9,24686.85,24717.7
28-01-2024,24302.85,24350.05,23893.7,24055.6
29-01-2024,24189.85,24382.6,23960.4,23992.55
30-01-2024,24289.4,24337.7,24184.9,24297.5
31-01-2024,24248.55,24340.5,24079.7,24117
01-02-2024,24386.85,24419.75,24311.2,24367.5
02-02-2024,24320.05,24472.8,24212.1,24347
03-02-2024,24342.35,24359.95,24116.5,24139
04-02-2024,24184.4,24196.5,24099.7,24143.75
05-02-2024,24334.85,24563.9,24204.5,24541.15
06-02-2024,24636.35,24638.8,24522.95,24572.65
07-02-2024,24648.9,24734.3,24607.2,24698.85
08-02-2024,24680.55,24787.95,24654.5,24770.2
09-02-2024,24863.4,24867.35,24784.45,24811.5
10-02-2024,24845.4,24858.4,24771.65,24823.15
11-02-2024,24906.1,25043.8,24874.7,25010.6
12-02-2024,25024.8,25073.1,24973.65,25017.75
13-02-2024,25030.8,25129.6,24964.65,25052.35
14-02-2024,25035.3,25192.9,24998.5,25151.95
15-02-2024,25249.7,25268.35,25199.4,25235.9
16-02-2024,25333.6,25333.65,25235.5,25278.7
17-02-2024,25313.4,25321.7,25235.8,25279.85
18-02-2024,25089.95,25216,25083.8,25198.7
19-02-2024,25250.5,25275.45,25127.75,25145.1
20-02-2024,25093.7,25168.75,24801.3,24852.15
21-02-2024,24823.4,24957.5,24753.15,24936.4
22-02-2024,24999.4,25130.5,24896.8,25041.1
23-02-2024,25034,25113.7,24885.15,24918.45
24-02-2024,25059.65,25433.35,24941.45,25388.9
